,experiment_description,F1_score_mean,Accuracy_mean,lr,train_size,F1_score_std,Accuracy_std,modality,experiment_description_short
0,ts_tcc_Larfield_initial_multimodal_fix_0.05_100__fusion_mean_multiclass_3classes__ACC_test,0.4045095615742582,0.5631596440709891,0.05,100,0.07109346247798422,0.09626327572576684,ACC,multimodal
30,ts_tcc_Larfield_initial_multimodal_initialized_encoders_fix_0.05_100__fusion_mean_multiclass_3classes__ACC_test,0.4769100851828629,0.5951705899809911,0.05,100,0.16212352822925907,0.19344982903654423,ACC,multimodal_initialized_encoders
3,ts_tcc_Larfield_initial_multimodal_fix_0.05_100__not_loaded_checkpoint_fusion_mean_multiclass_3classes__ACC_test,0.44297081849215003,0.6091518967071324,0.05,100,0.12641326105088807,0.1701064280005545,ACC,multimodal_not_loaded_checkpoint
51,ts_tcc_Larfield_initial_unimodal_acc_fix_0.05_100__fusion_mean_multiclass_3classes__ACC_test,0.47390512812527924,0.5877883109717618,0.05,100,0.16158709115802825,0.1787396315270887,ACC,unimodal
2,ts_tcc_Larfield_initial_multimodal_fix_0.05_100__fusion_mean_multiclass_3classes__ECG_test,0.4570573038841484,0.6312504580825735,0.05,100,0.19061557326954812,0.25452832710238676,ECG,multimodal
32,ts_tcc_Larfield_initial_multimodal_initialized_encoders_fix_0.05_100__fusion_mean_multiclass_3classes__ECG_test,0.4196110678897782,0.5191271067361394,0.05,100,0.1945772348956119,0.2450652865903559,ECG,multimodal_initialized_encoders
5,ts_tcc_Larfield_initial_multimodal_fix_0.05_100__not_loaded_checkpoint_fusion_mean_multiclass_3classes__ECG_test,0.4269918309902849,0.5912533929797364,0.05,100,0.13981673588639057,0.18123638202845177,ECG,multimodal_not_loaded_checkpoint
56,ts_tcc_Larfield_initial_unimodal_ecg_fix_0.05_100__fusion_mean_multiclass_3classes__ECG_test,0.3997628014463943,0.5344383364808322,0.05,100,0.16166454114624984,0.20889621669768085,ECG,unimodal
1,ts_tcc_Larfield_initial_multimodal_fix_0.05_100__fusion_mean_multiclass_3classes__ECG_ACC_test,0.5159025998099251,0.6600673009416607,0.05,100,0.1832721111235013,0.18929166259047248,ECG_ACC,multimodal
31,ts_tcc_Larfield_initial_multimodal_initialized_encoders_fix_0.05_100__fusion_mean_multiclass_3classes__ECG_ACC_test,0.48992644694040993,0.5771722759626983,0.05,100,0.19543573857915755,0.22048294605678523,ECG_ACC,multimodal_initialized_encoders
4,ts_tcc_Larfield_initial_multimodal_fix_0.05_100__not_loaded_checkpoint_fusion_mean_multiclass_3classes__ECG_ACC_test,0.5112013454802837,0.6432199656239846,0.05,100,0.24571232097195975,0.23205662925702977,ECG_ACC,multimodal_not_loaded_checkpoint
61,ts_tcc_Larfield_initial_unimodal_fusion_0.05_100__fusion_mean_multiclass_3classes__ECG_ACC_test,0.5187392452515306,0.608188038337355,0.05,100,0.22505577942880003,0.21308387539446041,ECG_ACC,unimodal
